a,b,dia_juliano,d,e,f,g,h
101,2023,12,0,12.63,0,22.6,0
101,2023,12,1,12.7,0,22.06,0
101,2023,12,2,12.7,0,22.06,0
101,2023,12,3,12.7,0,22.04,0
101,2023,12,4,12.7,0,22.04,0
101,2023,12,5,12.7,0,22.04,0
101,2023,12,6,12.7,0,22.04,0
101,2023,12,7,12.7,0,22.02,0
101,2023,12,8,12.7,0,22.02,0
101,2023,12,9,12.7,0,22.04,0
101,2023,12,10,12.7,0,22.04,0
101,2023,12,11,12.7,0,22.04,0
101,2023,12,12,12.7,0,22.03,0
101,2023,12,13,12.7,0,22.03,0
101,2023,12,14,12.7,0,22.02,0
101,2023,12,15,12.7,0,22.02,0
101,2023,12,16,12.7,0,22.01,0
101,2023,12,17,12.7,0,21.99,0
101,2023,12,18,12.7,0,21.98,0
101,2023,12,19,12.7,0,21.97,0
101,2023,12,20,12.7,0,21.97,0
101,2023,12,21,12.7,0,21.98,0
101,2023,12,22,12.7,0,21.95,0
101,2023,12,23,12.7,0,21.95,0
101,2023,12,24,12.7,0,21.95,0
101,2023,12,25,12.7,0,21.95,0
101,2023,12,26,12.7,0,21.93,0
101,2023,12,27,12.7,0,21.91,0
101,2023,12,28,12.7,0,21.9,0
101,2023,12,29,12.7,0,21.89,0
101,2023,12,30,12.7,0,21.91,0
101,2023,12,31,12.7,0,21.9,0
101,2023,12,32,12.7,0,21.9,0
101,2023,12,33,12.7,0,21.88,0
101,2023,12,34,12.7,0,21.85,0
101,2023,12,35,12.69,0,21.85,0
101,2023,12,36,12.69,0,21.82,0
101,2023,12,37,12.69,0,21.83,0
101,2023,12,38,12.69,0,21.8,0
101,2023,12,39,12.69,0,21.8,0
101,2023,12,40,12.69,0,21.83,0
101,2023,12,41,12.69,0,21.83,0
101,2023,12,42,12.69,0,21.81,0
101,2023,12,43,12.69,0,21.81,0
101,2023,12,44,12.69,0,21.82,0
101,2023,12,45,12.69,0,21.8,0
101,2023,12,46,12.69,0,21.78,0
101,2023,12,47,12.69,0,21.76,0
101,2023,12,48,12.69,0,21.75,0
101,2023,12,49,12.69,0,21.73,0
101,2023,12,50,12.69,0,21.68,0
101,2023,12,51,12.69,0,21.64,0
101,2023,12,52,12.69,0,21.61,0
