"a","b","dia_juliano","d","e","f","g","h"
101,2023,62,2400,12.54,.169,23.48,0
102,2023,62,2400,12.52,0
101,2023,63,1,12.53,.056,23.47,0
101,2023,63,2,12.53,.028,23.47,0
101,2023,63,3,12.53,.028,23.48,0
101,2023,63,4,12.53,.056,23.48,0
101,2023,63,5,12.53,.085,23.49,0
101,2023,63,6,12.53,.113,23.48,0
101,2023,63,7,12.53,.113,23.49,0
101,2023,63,8,12.53,0,23.49,0
101,2023,63,9,12.53,.141,23.47,0
101,2023,63,10,12.53,.113,23.45,0
101,2023,63,11,12.53,.085,23.42,0
101,2023,63,12,12.53,.141,23.4,0
101,2023,63,13,12.53,.056,23.39,0
101,2023,63,14,12.54,.141,23.4,0
101,2023,63,15,12.53,.113,23.4,0
101,2023,63,16,12.53,.028,23.4,0
101,2023,63,17,12.53,.113,23.4,0
101,2023,63,18,12.53,.085,23.4,0
101,2023,63,19,12.54,.169,23.39,0
101,2023,63,20,12.53,.282,23.38,0
101,2023,63,21,12.53,.197,23.35,0
101,2023,63,22,12.53,.085,23.3,0
101,2023,63,23,12.54,.056,23.27,0
101,2023,63,24,12.53,0,23.25,0
101,2023,63,25,12.53,0,23.24,0
101,2023,63,26,12.53,0,23.22,0
101,2023,63,27,12.53,.028,23.2,0
101,2023,63,28,12.53,.113,23.19,0
101,2023,63,29,12.53,0,23.17,0
101,2023,63,30,12.53,0,23.16,0
101,2023,63,31,12.53,0,23.15,0
101,2023,63,32,12.53,0,23.13,0
101,2023,63,33,12.53,0,23.11,0
101,2023,63,34,12.53,0,23.11,0
101,2023,63,35,12.53,0,23.12,0
101,2023,63,36,12.53,0,23.12,0
101,2023,63,37,12.53,0,23.11,0
101,2023,63,38,12.53,0,23.12,0
101,2023,63,39,12.53,0,23.14,0
101,2023,63,40,12.53,.056,23.2,0
101,2023,63,41,12.53,.085,23.24,0
101,2023,63,42,12.53,.169,23.22,0
101,2023,63,43,12.53,.056,23.21,0
101,2023,63,44,12.53,.028,23.22,0
101,2023,63,45,12.53,.056,23.24,0
101,2023,63,46,12.53,.085,23.24,0
101,2023,63,47,12.53,.141,23.26,0
101,2023,63,48,12.53,.085,23.27,0
101,2023,63,49,12.53,.113,23.28,0
101,2023,63,50,12.53,.113,23.28,0
101,2023,63,51,12.53,.113,23.27,0
101,2023,63,52,12.53,.028,23.28,0
101,2023,63,53,12.53,.113,23.3,0
101,2023,63,54,12.53,.085,23.32,0
101,2023,63,55,12.53,.028,23.32,0
101,2023,63,56,12.53,.056,23.32,0
101,2023,63,57,12.53,.056,23.32,0
101,2023,63,58,12.53,0,23.29,0
101,2023,63,59,12.53,0,23.29,0
101,2023,63,100,12.53,0,23.29,0
101,2023,63,101,12.53,0,23.3,0
101,2023,63,102,12.53,.028,23.31,0
101,2023,63,103,12.53,0,23.3,0
101,2023,63,104,12.53,0,23.3,0
101,2023,63,105,12.53,0,23.3,0
101,2023,63,106,12.53,0,23.3,0
101,2023,63,107,12.53,0,23.31,0
101,2023,63,108,12.53,0,23.3,0
101,2023,63,109,12.53,0,23.31,0
101,2023,63,110,12.53,0,23.31,0
101,2023,63,111,12.53,0,23.31,0
101,2023,63,112,12.53,0,23.33,0
