a,b,dia_juliano,d,e,f,g,h
101,2023,106,2400.0,12.59,0.0,23.39,0.0
101,2023,106,1.0,12.59,0.0,23.38,0.0
101,2023,106,2.0,12.59,0.0,23.37,0.0
101,2023,106,3.0,12.59,0.0,23.38,0.0
101,2023,106,4.0,12.59,0.0,23.38,0.0
101,2023,106,5.0,12.59,0.0,23.35,0.0
101,2023,106,6.0,12.59,0.0,23.34,0.0
101,2023,106,7.0,12.59,0.0,23.36,0.0
101,2023,106,8.0,12.59,0.0,23.36,0.0
101,2023,106,9.0,12.59,0.0,23.36,0.0
101,2023,106,10.0,12.59,0.0,23.34,0.0
101,2023,106,11.0,12.59,0.0,23.35,0.0
101,2023,106,12.0,12.59,0.0,23.34,0.0
101,2023,106,13.0,12.59,0.0,23.32,0.0
101,2023,106,14.0,12.59,0.0,23.35,0.0
101,2023,106,15.0,12.59,0.0,23.4,0.0
101,2023,106,16.0,12.59,0.0,23.45,0.0
101,2023,106,17.0,12.59,0.0,23.43,0.0
101,2023,106,18.0,12.58,0.0,23.38,0.0
101,2023,106,19.0,12.59,0.0,23.39,0.0
101,2023,106,20.0,12.59,0.0,23.38,0.0
101,2023,106,21.0,12.59,0.0,23.28,0.0
101,2023,106,22.0,12.58,0.0,23.23,0.0
101,2023,106,23.0,12.59,0.0,23.2,0.0
101,2023,106,24.0,12.58,0.0,23.21,0.0
101,2023,106,25.0,12.58,0.0,23.2,0.0
101,2023,106,26.0,12.59,0.0,23.18,0.0
101,2023,106,27.0,12.59,0.0,23.2,0.0
101,2023,106,28.0,12.58,0.0,23.25,0.0
101,2023,106,29.0,12.58,0.0,23.27,0.0
101,2023,106,30.0,12.58,0.0,23.24,0.0
101,2023,106,31.0,12.58,0.0,23.24,0.0
101,2023,106,32.0,12.58,0.0,23.21,0.0
101,2023,106,33.0,12.59,0.0,23.18,0.0
101,2023,106,34.0,12.58,0.0,23.15,0.0
101,2023,106,35.0,12.58,0.0,23.15,0.0
101,2023,106,36.0,12.58,0.0,23.17,0.0
101,2023,106,37.0,12.58,0.0,23.18,0.0
101,2023,106,38.0,12.58,0.0,23.2,0.0
101,2023,106,39.0,12.58,0.0,23.2,0.0
101,2023,106,40.0,12.58,0.0,23.2,0.0
101,2023,106,41.0,12.58,0.0,23.2,0.0
101,2023,106,42.0,12.58,0.0,23.2,0.0
101,2023,106,43.0,12.58,0.0,23.22,0.0
101,2023,106,44.0,12.58,0.0,23.26,0.0
101,2023,106,45.0,12.58,0.0,23.29,0.0
101,2023,106,46.0,12.58,0.0,23.3,0.0
101,2023,106,47.0,12.58,0.0,23.29,0.0
101,2023,106,48.0,12.58,0.0,23.28,0.0
101,2023,106,49.0,12.58,0.0,23.3,0.0
101,2023,106,50.0,12.58,0.0,23.3,0.0
101,2023,106,51.0,12.58,0.0,23.3,0.0
101,2023,106,52.0,12.58,0.0,23.26,0.0
101,2023,106,53.0,12.58,0.0,23.24,0.0
101,2023,106,54.0,12.58,0.0,23.19,0.0
101,2023,106,55.0,12.58,0.0,23.14,0.0
101,2023,106,56.0,12.58,0.0,23.2,0.0
101,2023,106,57.0,12.58,0.0,23.21,0.0
101,2023,106,58.0,12.58,0.0,23.19,0.0
101,2023,106,59.0,12.58,0.0,23.16,0.0
101,2023,106,100.0,12.58,0.0,23.15,0.0
101,2023,106,101.0,12.58,0.0,23.2,0.0
101,2023,106,102.0,12.58,0.0,23.21,0.0
101,2023,106,103.0,12.58,0.0,23.17,0.0
101,2023,106,104.0,12.58,0.0,23.17,0.0
101,2023,106,105.0,12.57,0.0,23.16,0.0
101,2023,106,106.0,12.58,0.0,23.15,0.0
101,2023,106,107.0,12.57,0.0,23.15,0.0
101,2023,106,108.0,12.58,0.0,23.13,0.0
101,2023,106,109.0,12.57,0.0,23.11,0.0
101,2023,106,110.0,12.57,0.0,23.09,0.0
101,2023,106,111.0,12.58,0.0,23.08,0.0
101,2023,106,112.0,12.57,0.0,23.07,0.0
101,2023,106,113.0,12.57,0.0,23.11,0.0
101,2023,106,114.0,12.57,0.0,23.11,0.0
101,2023,106,115.0,12.57,0.0,23.08,0.0
101,2023,106,116.0,12.57,0.0,23.06,0.0
101,2023,106,117.0,12.57,0.0,23.04,0.0
101,2023,106,118.0,12.57,0.0,23.02,0.0
101,2023,106,119.0,12.57,0.0,23.04,0.0
101,2023,106,120.0,12.57,0.0,23.02,0.0
101,2023,106,121.0,12.57,0.0,23.0,0.0
101,2023,106,122.0,12.57,0.0,22.99,0.0
101,2023,106,123.0,12.57,0.0,23.0,0.0
101,2023,106,124.0,12.57,0.0,22.98,0.0
101,2023,106,125.0,12.57,0.0,22.97,0.0
101,2023,106,126.0,12.57,0.0,23.01,0.0
101,2023,106,127.0,12.57,0.0,23.0,0.0
101,2023,106,128.0,12.57,0.0,22.99,0.0
101,2023,106,129.0,12.57,0.0,23.0,0.0
101,2023,106,130.0,12.57,0.0,22.98,0.0
101,2023,106,131.0,12.57,0.0,22.97,0.0
101,2023,106,132.0,12.57,0.0,22.98,0.0
101,2023,106,133.0,12.57,0.0,22.95,0.0
101,2023,106,134.0,12.57,0.0,22.99,0.0
101,2023,106,135.0,12.56,0.0,23.02,0.0
101,2023,106,136.0,12.57,0.0,23.03,0.0
101,2023,106,137.0,12.57,0.0,23.01,0.0
101,2023,106,138.0,12.57,0.0,23.02,0.0
101,2023,106,139.0,12.56,0.0,23.07,0.0
101,2023,106,140.0,12.57,0.0,23.07,0.0
101,2023,106,141.0,12.56,0.0,23.08,0.0
101,2023,106,142.0,12.57,0.0,23.08,0.0
101,2023,106,143.0,12.57,0.0,23.1,0.0
101,2023,106,144.0,12.56,0.0,23.09,0.0
101,2023,106,145.0,12.56,0.0,23.11,0.0
101,2023,106,146.0,12.56,0.0,23.13,0.0
101,2023,106,147.0,12.56,0.0,23.13,0.0
101,2023,106,148.0,12.56,0.0,23.11,0.0
101,2023,106,149.0,12.56,0.0,23.1,0.0
101,2023,106,150.0,12.56,0.0,23.1,0.0
101,2023,106,151.0,12.56,0.0,23.1,0.0
101,2023,106,152.0,12.56,0.0,23.13,0.0
