a,b,dia_juliano,d,e,f,g,h
101,2022,296,530,13.3,71.4,21.86,0
101,2022,296,531,13.3,73.5,21.88,0
101,2022,296,532,13.3,75.8,21.89,0
101,2022,296,533,13.3,79.3,21.91,0
101,2022,296,534,13.3,82.6,21.93,0
101,2022,296,535,13.29,85.9,21.96,0
101,2022,296,536,13.29,88.1,22.03,0
101,2022,296,537,13.29,89.9,22.08,0
101,2022,296,538,13.29,91.8,22.13,0
101,2022,296,539,13.29,94.5,22.17,0
101,2022,296,540,13.29,97.4,22.2,0
101,2022,296,541,13.29,100,22.23,0
101,2022,296,542,13.29,103.3,22.29,0
101,2022,296,543,13.29,106.4,22.32,0
101,2022,296,544,13.29,108.8,22.36,0
101,2022,296,545,13.29,111.1,22.4,0
101,2022,296,546,13.29,114.1,22.44,0
101,2022,296,547,13.29,117.5,22.48,0
101,2022,296,548,13.29,119.1,22.54,0
101,2022,296,549,13.29,120.7,22.61,0
101,2022,296,550,13.29,123.6,22.67,0
101,2022,296,551,13.28,127.4,22.73,0
101,2022,296,552,13.28,130.8,22.73,0
101,2022,296,553,13.28,134.1,22.76,0
101,2022,296,554,13.28,136.9,22.82,0
101,2022,296,555,13.28,140,22.91,0
101,2022,296,556,13.28,143.5,22.94,0
101,2022,296,557,13.28,146.7,22.98,0
101,2022,296,558,13.28,149.5,22.99,0
101,2022,296,559,13.28,153.6,23.04,0
101,2022,296,600,13.28,155.3,23.07,0
101,2022,296,601,13.28,156.9,23.1,0
101,2022,296,602,13.28,162.7,23.09,0
101,2022,296,603,13.28,166.9,23.14,0
101,2022,296,604,13.28,170.8,23.18,0
101,2022,296,605,13.27,174.8,23.2,0
101,2022,296,606,13.27,177,23.23,0
101,2022,296,607,13.27,181.1,23.23,0
101,2022,296,608,13.27,184.6,23.29,0
101,2022,296,609,13.27,187.7,23.37,0
101,2022,296,610,13.27,190.2,23.45,0
101,2022,296,611,13.27,193.4,23.47,0
101,2022,296,612,13.27,197.1,23.43,0
101,2022,296,613,13.26,201.4,23.43,0
101,2022,296,614,13.26,207.8,23.46,0
