Meses,Irradiação_mensal (kWh/m²),Irradiação_interceptada (kWh),Temperatura_amb_media,Temperatura_cel_media,Energia gerada (kWh),Produtividade (kWh/kWp),Referência (kWh/m2/kW/m²),Fator de capacidade (%),PR (%)
oct/2022,183.0475709,68025.12821,24.46945139,32.54550009,9882.6,140.4776119,183.0475709,0.188813995,0.767437728
nov/22,171.4354908,63709.78423,25.13323611,32.92191087,9481,134.7690121,171.4354908,0.187179183,0.78612084
dec/2022,188.8298079,70173.95439,25.58004861,33.91619692,10187.9,144.8173419,188.8298079,0.194646965,0.766919924
jan/23,186.3074622,69236.58663,25.67876389,34.14301712,8744.5,124.2999289,186.3074622,0.167069797,0.66717633
feb/2023,150.2548889,55838.5344,25.79854167,33.12925742,8055.5,114.5060412,150.2548889,0.170395895,0.762078639
mar/23,161.7450614,60108.57442,25.97544792,33.22994364,9001.5,127.9530917,161.7450614,0.171979962,0.791078816
apr/2023,154.2636573,57328.29457,25.64124306,32.72555384,7356,104.5628998,154.2636573,0.14522625,0.677819401
may/2023,146.3600835,54391.12574,25.15533333,31.64576966,1546.8,21.98720682,146.3600835,0.029552697,0.150226799
jun/23,119.2912677,44331.66602,23.55357986,28.16504551,6452.4,91.71855011,119.2912677,0.127386875,0.76886223
jul/23,137.0277509,50922.99382,23.22702778,29.54254379,8162.1,116.021322,137.0277509,0.155942637,0.846699455
aug/2023,155.3079253,57716.37112,23.484375,30.26545386,8753.9,124.4335466,155.3079253,0.167249391,0.801205388
sep/2023,152.2960009,56597.06348,23.89579861,30.61651038,4825,68.58564321,152.2960009,0.095257838,0.450344348
