Meses,Irradiacao,Irradiacao_coletada,Energia,Produtividade,Referencia,FC,PR
out/22,183.0475709,68025.12821,9882.6,140.4776119,183.0475709,0.188813995,0.767437728
nov/22,171.4354908,63709.78423,9481,134.7690121,171.4354908,0.187179183,0.78612084
dez/22,188.8298079,70173.95439,10187.9,144.8173419,188.8298079,0.194646965,0.766919924
jan/23,186.3074622,69236.58663,8744.5,124.2999289,186.3074622,0.167069797,0.66717633
fev/23,150.2548889,55838.5344,8055.5,114.5060412,150.2548889,0.170395895,0.762078639
mar/23,161.7450614,60108.57442,9001.5,127.9530917,161.7450614,0.171979962,0.791078816
abr/23,154.2636573,57328.29457,7356,104.5628998,154.2636573,0.14522625,0.677819401
mai/23,146.3600835,54391.12574,1546.8,21.98720682,146.3600835,0.029552697,0.150226799
jun/23,119.2912677,44331.66602,6452.4,91.71855011,119.2912677,0.127386875,0.76886223
jul/23,137.0277509,50922.99382,8162.1,116.021322,137.0277509,0.155942637,0.846699455
ago/23,155.3079253,57716.37112,8753.9,124.4335466,155.3079253,0.167249391,0.801205388
set/23,152.2960009,56597.06348,4825,68.58564321,152.2960009,0.095257838,0.450344348
