Dia_Juliano,Soma_Irradiacao_kWh,Data
12,6.150762983333333,12/01/2023
13,6.892449133333333,13/01/2023
14,5.086449816666666,14/01/2023
15,5.699866016666667,15/01/2023
16,4.747213666666666,16/01/2023
17,4.962688683333333,17/01/2023
18,6.328361266666666,18/01/2023
19,4.555336233333334,19/01/2023
20,6.782029483333333,20/01/2023
21,6.664828966666667,21/01/2023
22,5.621945566666667,22/01/2023
23,6.54542095,23/01/2023
24,6.7479553,24/01/2023
25,7.256553666666666,25/01/2023
26,6.7691791666666665,26/01/2023
27,7.164804783333334,27/01/2023
28,6.2655598166666655,28/01/2023
29,6.495378649999999,29/01/2023
30,5.880655833333333,30/01/2023
31,4.009673766666666,31/01/2023
32,4.17184555,01/02/2023
33,5.504483133333333,02/02/2023
34,6.3525452,03/02/2023
35,6.4543865,04/02/2023
36,4.800164316666666,05/02/2023
37,2.8464787,06/02/2023
38,6.757424299999999,07/02/2023
39,5.399859666666667,08/02/2023
40,4.2155945,09/02/2023
41,6.258362550000001,10/02/2023
42,6.84700075,11/02/2023
43,4.309001716666667,12/02/2023
44,6.510409283333333,13/02/2023
45,6.227696716666667,14/02/2023
46,4.574482216666667,15/02/2023
47,5.980026933333333,16/02/2023
48,6.512614133333334,17/02/2023
49,5.863941516666666,18/02/2023
50,5.45372285,19/02/2023
51,4.060500883333333,20/02/2023
52,3.633231416666667,21/02/2023
53,4.548962783333334,22/02/2023
54,5.006152616666667,23/02/2023
55,3.4131547500000003,24/02/2023
56,5.49916855,25/02/2023
57,6.482423616666667,26/02/2023
58,6.1630759333333325,27/02/2023
59,6.4081778499999995,28/02/2023
60,6.168513066666667,01/03/2023
61,6.239814283333334,02/03/2023
